date_key,full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_of_week,day_name,is_weekend,is_month_end,is_quarter_end,is_year_end
2021-01-01,2021-01-01,2021,1,1,January,53,1,5,Friday,False,False,False,False
2021-01-02,2021-01-02,2021,1,1,January,53,2,6,Saturday,True,False,False,False
2021-01-03,2021-01-03,2021,1,1,January,53,3,7,Sunday,True,False,False,False
2021-01-04,2021-01-04,2021,1,1,January,1,4,1,Monday,False,False,False,False
2021-01-05,2021-01-05,2021,1,1,January,1,5,2,Tuesday,False,False,False,False
2021-01-06,2021-01-06,2021,1,1,January,1,6,3,Wednesday,False,False,False,False
2021-01-07,2021-01-07,2021,1,1,January,1,7,4,Thursday,False,False,False,False
2021-01-08,2021-01-08,2021,1,1,January,1,8,5,Friday,False,False,False,False
2021-01-09,2021-01-09,2021,1,1,January,1,9,6,Saturday,True,False,False,False
2021-01-10,2021-01-10,2021,1,1,January,1,10,7,Sunday,True,False,False,False
2021-01-11,2021-01-11,2021,1,1,January,2,11,1,Monday,False,False,False,False
2021-01-12,2021-01-12,2021,1,1,January,2,12,2,Tuesday,False,False,False,False
2021-01-13,2021-01-13,2021,1,1,January,2,13,3,Wednesday,False,False,False,False
2021-01-14,2021-01-14,2021,1,1,January,2,14,4,Thursday,False,False,False,False
2021-01-15,2021-01-15,2021,1,1,January,2,15,5,Friday,False,False,False,False
2021-01-16,2021-01-16,2021,1,1,January,2,16,6,Saturday,True,False,False,False
2021-01-17,2021-01-17,2021,1,1,January,2,17,7,Sunday,True,False,False,False
2021-01-18,2021-01-18,2021,1,1,January,3,18,1,Monday,False,False,False,False
2021-01-19,2021-01-19,2021,1,1,January,3,19,2,Tuesday,False,False,False,False
2021-01-20,2021-01-20,2021,1,1,January,3,20,3,Wednesday,False,False,False,False
2021-01-21,2021-01-21,2021,1,1,January,3,21,4,Thursday,False,False,False,False
2021-01-22,2021-01-22,2021,1,1,January,3,22,5,Friday,False,False,False,False
2021-01-23,2021-01-23,2021,1,1,January,3,23,6,Saturday,True,False,False,False
2021-01-24,2021-01-24,2021,1,1,January,3,24,7,Sunday,True,False,False,False
2021-01-25,2021-01-25,2021,1,1,January,4,25,1,Monday,False,False,False,False
2021-01-26,2021-01-26,2021,1,1,January,4,26,2,Tuesday,False,False,False,False
2021-01-27,2021-01-27,2021,1,1,January,4,27,3,Wednesday,False,False,False,False
2021-01-28,2021-01-28,2021,1,1,January,4,28,4,Thursday,False,False,False,False
2021-01-29,2021-01-29,2021,1,1,January,4,29,5,Friday,False,False,False,False
2021-01-30,2021-01-30,2021,1,1,January,4,30,6,Saturday,True,False,False,False
2021-01-31,2021-01-31,2021,1,1,January,4,31,7,Sunday,True,True,False,False
2021-02-01,2021-02-01,2021,1,2,February,5,1,1,Monday,False,False,False,False
2021-02-02,2021-02-02,2021,1,2,February,5,2,2,Tuesday,False,False,False,False
2021-02-03,2021-02-03,2021,1,2,February,5,3,3,Wednesday,False,False,False,False
2021-02-04,2021-02-04,2021,1,2,February,5,4,4,Thursday,False,False,False,False
2021-02-05,2021-02-05,2021,1,2,February,5,5,5,Friday,False,False,False,False
2021-02-06,2021-02-06,2021,1,2,February,5,6,6,Saturday,True,False,False,False
2021-02-07,2021-02-07,2021,1,2,February,5,7,7,Sunday,True,False,False,False
2021-02-08,2021-02-08,2021,1,2,February,6,8,1,Monday,False,False,False,False
2021-02-09,2021-02-09,2021,1,2,February,6,9,2,Tuesday,False,False,False,False
2021-02-10,2021-02-10,2021,1,2,February,6,10,3,Wednesday,False,False,False,False
2021-02-11,2021-02-11,2021,1,2,February,6,11,4,Thursday,False,False,False,False
2021-02-12,2021-02-12,2021,1,2,February,6,12,5,Friday,False,False,False,False
2021-02-13,2021-02-13,2021,1,2,February,6,13,6,Saturday,True,False,False,False
2021-02-14,2021-02-14,2021,1,2,February,6,14,7,Sunday,True,False,False,False
2021-02-15,2021-02-15,2021,1,2,February,7,15,1,Monday,False,False,False,False
2021-02-16,2021-02-16,2021,1,2,February,7,16,2,Tuesday,False,False,False,False
2021-02-17,2021-02-17,2021,1,2,February,7,17,3,Wednesday,False,False,False,False
2021-02-18,2021-02-18,2021,1,2,February,7,18,4,Thursday,False,False,False,False
2021-02-19,2021-02-19,2021,1,2,February,7,19,5,Friday,False,False,False,False
2021-02-20,2021-02-20,2021,1,2,February,7,20,6,Saturday,True,False,False,False
2021-02-21,2021-02-21,2021,1,2,February,7,21,7,Sunday,True,False,False,False
2021-02-22,2021-02-22,2021,1,2,February,8,22,1,Monday,False,False,False,False
2021-02-23,2021-02-23,2021,1,2,February,8,23,2,Tuesday,False,False,False,False
2021-02-24,2021-02-24,2021,1,2,February,8,24,3,Wednesday,False,False,False,False
2021-02-25,2021-02-25,2021,1,2,February,8,25,4,Thursday,False,False,False,False
2021-02-26,2021-02-26,2021,1,2,February,8,26,5,Friday,False,False,False,False
2021-02-27,2021-02-27,2021,1,2,February,8,27,6,Saturday,True,False,False,False
2021-02-28,2021-02-28,2021,1,2,February,8,28,7,Sunday,True,True,False,False
2021-03-01,2021-03-01,2021,1,3,March,9,1,1,Monday,False,False,False,False
2021-03-02,2021-03-02,2021,1,3,March,9,2,2,Tuesday,False,False,False,False
2021-03-03,2021-03-03,2021,1,3,March,9,3,3,Wednesday,False,False,False,False
2021-03-04,2021-03-04,2021,1,3,March,9,4,4,Thursday,False,False,False,False
2021-03-05,2021-03-05,2021,1,3,March,9,5,5,Friday,False,False,False,False
2021-03-06,2021-03-06,2021,1,3,March,9,6,6,Saturday,True,False,False,False
2021-03-07,2021-03-07,2021,1,3,March,9,7,7,Sunday,True,False,False,False
2021-03-08,2021-03-08,2021,1,3,March,10,8,1,Monday,False,False,False,False
2021-03-09,2021-03-09,2021,1,3,March,10,9,2,Tuesday,False,False,False,False
2021-03-10,2021-03-10,2021,1,3,March,10,10,3,Wednesday,False,False,False,False
2021-03-11,2021-03-11,2021,1,3,March,10,11,4,Thursday,False,False,False,False
2021-03-12,2021-03-12,2021,1,3,March,10,12,5,Friday,False,False,False,False
2021-03-13,2021-03-13,2021,1,3,March,10,13,6,Saturday,True,False,False,False
2021-03-14,2021-03-14,2021,1,3,March,10,14,7,Sunday,True,False,False,False
2021-03-15,2021-03-15,2021,1,3,March,11,15,1,Monday,False,False,False,False
2021-03-16,2021-03-16,2021,1,3,March,11,16,2,Tuesday,False,False,False,False
2021-03-17,2021-03-17,2021,1,3,March,11,17,3,Wednesday,False,False,False,False
2021-03-18,2021-03-18,2021,1,3,March,11,18,4,Thursday,False,False,False,False
2021-03-19,2021-03-19,2021,1,3,March,11,19,5,Friday,False,False,False,False
2021-03-20,2021-03-20,2021,1,3,March,11,20,6,Saturday,True,False,False,False
2021-03-21,2021-03-21,2021,1,3,March,11,21,7,Sunday,True,False,False,False
2021-03-22,2021-03-22,2021,1,3,March,12,22,1,Monday,False,False,False,False
2021-03-23,2021-03-23,2021,1,3,March,12,23,2,Tuesday,False,False,False,False
2021-03-24,2021-03-24,2021,1,3,March,12,24,3,Wednesday,False,False,False,False
2021-03-25,2021-03-25,2021,1,3,March,12,25,4,Thursday,False,False,False,False
2021-03-26,2021-03-26,2021,1,3,March,12,26,5,Friday,False,False,False,False
2021-03-27,2021-03-27,2021,1,3,March,12,27,6,Saturday,True,False,False,False
2021-03-28,2021-03-28,2021,1,3,March,12,28,7,Sunday,True,False,False,False
2021-03-29,2021-03-29,2021,1,3,March,13,29,1,Monday,False,False,False,False
2021-03-30,2021-03-30,2021,1,3,March,13,30,2,Tuesday,False,False,False,False
2021-03-31,2021-03-31,2021,1,3,March,13,31,3,Wednesday,False,True,True,False
2021-04-01,2021-04-01,2021,2,4,April,13,1,4,Thursday,False,False,False,False
2021-04-02,2021-04-02,2021,2,4,April,13,2,5,Friday,False,False,False,False
2021-04-03,2021-04-03,2021,2,4,April,13,3,6,Saturday,True,False,False,False
2021-04-04,2021-04-04,2021,2,4,April,13,4,7,Sunday,True,False,False,False
2021-04-05,2021-04-05,2021,2,4,April,14,5,1,Monday,False,False,False,False
2021-04-06,2021-04-06,2021,2,4,April,14,6,2,Tuesday,False,False,False,False
2021-04-07,2021-04-07,2021,2,4,April,14,7,3,Wednesday,False,False,False,False
2021-04-08,2021-04-08,2021,2,4,April,14,8,4,Thursday,False,False,False,False
2021-04-09,2021-04-09,2021,2,4,April,14,9,5,Friday,False,False,False,False
2021-04-10,2021-04-10,2021,2,4,April,14,10,6,Saturday,True,False,False,False
2021-04-11,2021-04-11,2021,2,4,April,14,11,7,Sunday,True,False,False,False
2021-04-12,2021-04-12,2021,2,4,April,15,12,1,Monday,False,False,False,False
2021-04-13,2021-04-13,2021,2,4,April,15,13,2,Tuesday,False,False,False,False
2021-04-14,2021-04-14,2021,2,4,April,15,14,3,Wednesday,False,False,False,False
2021-04-15,2021-04-15,2021,2,4,April,15,15,4,Thursday,False,False,False,False
2021-04-16,2021-04-16,2021,2,4,April,15,16,5,Friday,False,False,False,False
2021-04-17,2021-04-17,2021,2,4,April,15,17,6,Saturday,True,False,False,False
2021-04-18,2021-04-18,2021,2,4,April,15,18,7,Sunday,True,False,False,False
2021-04-19,2021-04-19,2021,2,4,April,16,19,1,Monday,False,False,False,False
2021-04-20,2021-04-20,2021,2,4,April,16,20,2,Tuesday,False,False,False,False
2021-04-21,2021-04-21,2021,2,4,April,16,21,3,Wednesday,False,False,False,False
2021-04-22,2021-04-22,2021,2,4,April,16,22,4,Thursday,False,False,False,False
2021-04-23,2021-04-23,2021,2,4,April,16,23,5,Friday,False,False,False,False
2021-04-24,2021-04-24,2021,2,4,April,16,24,6,Saturday,True,False,False,False
2021-04-25,2021-04-25,2021,2,4,April,16,25,7,Sunday,True,False,False,False
2021-04-26,2021-04-26,2021,2,4,April,17,26,1,Monday,False,False,False,False
2021-04-27,2021-04-27,2021,2,4,April,17,27,2,Tuesday,False,False,False,False
2021-04-28,2021-04-28,2021,2,4,April,17,28,3,Wednesday,False,False,False,False
2021-04-29,2021-04-29,2021,2,4,April,17,29,4,Thursday,False,False,False,False
2021-04-30,2021-04-30,2021,2,4,April,17,30,5,Friday,False,True,False,False
2021-05-01,2021-05-01,2021,2,5,May,17,1,6,Saturday,True,False,False,False
2021-05-02,2021-05-02,2021,2,5,May,17,2,7,Sunday,True,False,False,False
2021-05-03,2021-05-03,2021,2,5,May,18,3,1,Monday,False,False,False,False
2021-05-04,2021-05-04,2021,2,5,May,18,4,2,Tuesday,False,False,False,False
2021-05-05,2021-05-05,2021,2,5,May,18,5,3,Wednesday,False,False,False,False
2021-05-06,2021-05-06,2021,2,5,May,18,6,4,Thursday,False,False,False,False
2021-05-07,2021-05-07,2021,2,5,May,18,7,5,Friday,False,False,False,False
2021-05-08,2021-05-08,2021,2,5,May,18,8,6,Saturday,True,False,False,False
2021-05-09,2021-05-09,2021,2,5,May,18,9,7,Sunday,True,False,False,False
2021-05-10,2021-05-10,2021,2,5,May,19,10,1,Monday,False,False,False,False
2021-05-11,2021-05-11,2021,2,5,May,19,11,2,Tuesday,False,False,False,False
2021-05-12,2021-05-12,2021,2,5,May,19,12,3,Wednesday,False,False,False,False
2021-05-13,2021-05-13,2021,2,5,May,19,13,4,Thursday,False,False,False,False
2021-05-14,2021-05-14,2021,2,5,May,19,14,5,Friday,False,False,False,False
2021-05-15,2021-05-15,2021,2,5,May,19,15,6,Saturday,True,False,False,False
2021-05-16,2021-05-16,2021,2,5,May,19,16,7,Sunday,True,False,False,False
2021-05-17,2021-05-17,2021,2,5,May,20,17,1,Monday,False,False,False,False
2021-05-18,2021-05-18,2021,2,5,May,20,18,2,Tuesday,False,False,False,False
2021-05-19,2021-05-19,2021,2,5,May,20,19,3,Wednesday,False,False,False,False
2021-05-20,2021-05-20,2021,2,5,May,20,20,4,Thursday,False,False,False,False
2021-05-21,2021-05-21,2021,2,5,May,20,21,5,Friday,False,False,False,False
2021-05-22,2021-05-22,2021,2,5,May,20,22,6,Saturday,True,False,False,False
2021-05-23,2021-05-23,2021,2,5,May,20,23,7,Sunday,True,False,False,False
2021-05-24,2021-05-24,2021,2,5,May,21,24,1,Monday,False,False,False,False
2021-05-25,2021-05-25,2021,2,5,May,21,25,2,Tuesday,False,False,False,False
2021-05-26,2021-05-26,2021,2,5,May,21,26,3,Wednesday,False,False,False,False
2021-05-27,2021-05-27,2021,2,5,May,21,27,4,Thursday,False,False,False,False
2021-05-28,2021-05-28,2021,2,5,May,21,28,5,Friday,False,False,False,False
2021-05-29,2021-05-29,2021,2,5,May,21,29,6,Saturday,True,False,False,False
2021-05-30,2021-05-30,2021,2,5,May,21,30,7,Sunday,True,False,False,False
2021-05-31,2021-05-31,2021,2,5,May,22,31,1,Monday,False,True,False,False
2021-06-01,2021-06-01,2021,2,6,June,22,1,2,Tuesday,False,False,False,False
2021-06-02,2021-06-02,2021,2,6,June,22,2,3,Wednesday,False,False,False,False
2021-06-03,2021-06-03,2021,2,6,June,22,3,4,Thursday,False,False,False,False
2021-06-04,2021-06-04,2021,2,6,June,22,4,5,Friday,False,False,False,False
2021-06-05,2021-06-05,2021,2,6,June,22,5,6,Saturday,True,False,False,False
2021-06-06,2021-06-06,2021,2,6,June,22,6,7,Sunday,True,False,False,False
2021-06-07,2021-06-07,2021,2,6,June,23,7,1,Monday,False,False,False,False
2021-06-08,2021-06-08,2021,2,6,June,23,8,2,Tuesday,False,False,False,False
2021-06-09,2021-06-09,2021,2,6,June,23,9,3,Wednesday,False,False,False,False
2021-06-10,2021-06-10,2021,2,6,June,23,10,4,Thursday,False,False,False,False
2021-06-11,2021-06-11,2021,2,6,June,23,11,5,Friday,False,False,False,False
2021-06-12,2021-06-12,2021,2,6,June,23,12,6,Saturday,True,False,False,False
2021-06-13,2021-06-13,2021,2,6,June,23,13,7,Sunday,True,False,False,False
2021-06-14,2021-06-14,2021,2,6,June,24,14,1,Monday,False,False,False,False
2021-06-15,2021-06-15,2021,2,6,June,24,15,2,Tuesday,False,False,False,False
2021-06-16,2021-06-16,2021,2,6,June,24,16,3,Wednesday,False,False,False,False
2021-06-17,2021-06-17,2021,2,6,June,24,17,4,Thursday,False,False,False,False
2021-06-18,2021-06-18,2021,2,6,June,24,18,5,Friday,False,False,False,False
2021-06-19,2021-06-19,2021,2,6,June,24,19,6,Saturday,True,False,False,False
2021-06-20,2021-06-20,2021,2,6,June,24,20,7,Sunday,True,False,False,False
2021-06-21,2021-06-21,2021,2,6,June,25,21,1,Monday,False,False,False,False
2021-06-22,2021-06-22,2021,2,6,June,25,22,2,Tuesday,False,False,False,False
2021-06-23,2021-06-23,2021,2,6,June,25,23,3,Wednesday,False,False,False,False
2021-06-24,2021-06-24,2021,2,6,June,25,24,4,Thursday,False,False,False,False
2021-06-25,2021-06-25,2021,2,6,June,25,25,5,Friday,False,False,False,False
2021-06-26,2021-06-26,2021,2,6,June,25,26,6,Saturday,True,False,False,False
2021-06-27,2021-06-27,2021,2,6,June,25,27,7,Sunday,True,False,False,False
2021-06-28,2021-06-28,2021,2,6,June,26,28,1,Monday,False,False,False,False
2021-06-29,2021-06-29,2021,2,6,June,26,29,2,Tuesday,False,False,False,False
2021-06-30,2021-06-30,2021,2,6,June,26,30,3,Wednesday,False,True,True,False
2021-07-01,2021-07-01,2021,3,7,July,26,1,4,Thursday,False,False,False,False
2021-07-02,2021-07-02,2021,3,7,July,26,2,5,Friday,False,False,False,False
2021-07-03,2021-07-03,2021,3,7,July,26,3,6,Saturday,True,False,False,False
2021-07-04,2021-07-04,2021,3,7,July,26,4,7,Sunday,True,False,False,False
2021-07-05,2021-07-05,2021,3,7,July,27,5,1,Monday,False,False,False,False
2021-07-06,2021-07-06,2021,3,7,July,27,6,2,Tuesday,False,False,False,False
2021-07-07,2021-07-07,2021,3,7,July,27,7,3,Wednesday,False,False,False,False
2021-07-08,2021-07-08,2021,3,7,July,27,8,4,Thursday,False,False,False,False
2021-07-09,2021-07-09,2021,3,7,July,27,9,5,Friday,False,False,False,False
2021-07-10,2021-07-10,2021,3,7,July,27,10,6,Saturday,True,False,False,False
2021-07-11,2021-07-11,2021,3,7,July,27,11,7,Sunday,True,False,False,False
2021-07-12,2021-07-12,2021,3,7,July,28,12,1,Monday,False,False,False,False
2021-07-13,2021-07-13,2021,3,7,July,28,13,2,Tuesday,False,False,False,False
2021-07-14,2021-07-14,2021,3,7,July,28,14,3,Wednesday,False,False,False,False
2021-07-15,2021-07-15,2021,3,7,July,28,15,4,Thursday,False,False,False,False
2021-07-16,2021-07-16,2021,3,7,July,28,16,5,Friday,False,False,False,False
2021-07-17,2021-07-17,2021,3,7,July,28,17,6,Saturday,True,False,False,False
2021-07-18,2021-07-18,2021,3,7,July,28,18,7,Sunday,True,False,False,False
2021-07-19,2021-07-19,2021,3,7,July,29,19,1,Monday,False,False,False,False
2021-07-20,2021-07-20,2021,3,7,July,29,20,2,Tuesday,False,False,False,False
2021-07-21,2021-07-21,2021,3,7,July,29,21,3,Wednesday,False,False,False,False
2021-07-22,2021-07-22,2021,3,7,July,29,22,4,Thursday,False,False,False,False
2021-07-23,2021-07-23,2021,3,7,July,29,23,5,Friday,False,False,False,False
2021-07-24,2021-07-24,2021,3,7,July,29,24,6,Saturday,True,False,False,False
2021-07-25,2021-07-25,2021,3,7,July,29,25,7,Sunday,True,False,False,False
2021-07-26,2021-07-26,2021,3,7,July,30,26,1,Monday,False,False,False,False
2021-07-27,2021-07-27,2021,3,7,July,30,27,2,Tuesday,False,False,False,False
2021-07-28,2021-07-28,2021,3,7,July,30,28,3,Wednesday,False,False,False,False
2021-07-29,2021-07-29,2021,3,7,July,30,29,4,Thursday,False,False,False,False
2021-07-30,2021-07-30,2021,3,7,July,30,30,5,Friday,False,False,False,False
2021-07-31,2021-07-31,2021,3,7,July,30,31,6,Saturday,True,True,False,False
2021-08-01,2021-08-01,2021,3,8,August,30,1,7,Sunday,True,False,False,False
2021-08-02,2021-08-02,2021,3,8,August,31,2,1,Monday,False,False,False,False
2021-08-03,2021-08-03,2021,3,8,August,31,3,2,Tuesday,False,False,False,False
2021-08-04,2021-08-04,2021,3,8,August,31,4,3,Wednesday,False,False,False,False
2021-08-05,2021-08-05,2021,3,8,August,31,5,4,Thursday,False,False,False,False
2021-08-06,2021-08-06,2021,3,8,August,31,6,5,Friday,False,False,False,False
2021-08-07,2021-08-07,2021,3,8,August,31,7,6,Saturday,True,False,False,False
2021-08-08,2021-08-08,2021,3,8,August,31,8,7,Sunday,True,False,False,False
2021-08-09,2021-08-09,2021,3,8,August,32,9,1,Monday,False,False,False,False
2021-08-10,2021-08-10,2021,3,8,August,32,10,2,Tuesday,False,False,False,False
2021-08-11,2021-08-11,2021,3,8,August,32,11,3,Wednesday,False,False,False,False
2021-08-12,2021-08-12,2021,3,8,August,32,12,4,Thursday,False,False,False,False
2021-08-13,2021-08-13,2021,3,8,August,32,13,5,Friday,False,False,False,False
2021-08-14,2021-08-14,2021,3,8,August,32,14,6,Saturday,True,False,False,False
2021-08-15,2021-08-15,2021,3,8,August,32,15,7,Sunday,True,False,False,False
2021-08-16,2021-08-16,2021,3,8,August,33,16,1,Monday,False,False,False,False
2021-08-17,2021-08-17,2021,3,8,August,33,17,2,Tuesday,False,False,False,False
2021-08-18,2021-08-18,2021,3,8,August,33,18,3,Wednesday,False,False,False,False
2021-08-19,2021-08-19,2021,3,8,August,33,19,4,Thursday,False,False,False,False
2021-08-20,2021-08-20,2021,3,8,August,33,20,5,Friday,False,False,False,False
2021-08-21,2021-08-21,2021,3,8,August,33,21,6,Saturday,True,False,False,False
2021-08-22,2021-08-22,2021,3,8,August,33,22,7,Sunday,True,False,False,False
2021-08-23,2021-08-23,2021,3,8,August,34,23,1,Monday,False,False,False,False
2021-08-24,2021-08-24,2021,3,8,August,34,24,2,Tuesday,False,False,False,False
2021-08-25,2021-08-25,2021,3,8,August,34,25,3,Wednesday,False,False,False,False
2021-08-26,2021-08-26,2021,3,8,August,34,26,4,Thursday,False,False,False,False
2021-08-27,2021-08-27,2021,3,8,August,34,27,5,Friday,False,False,False,False
2021-08-28,2021-08-28,2021,3,8,August,34,28,6,Saturday,True,False,False,False
2021-08-29,2021-08-29,2021,3,8,August,34,29,7,Sunday,True,False,False,False
2021-08-30,2021-08-30,2021,3,8,August,35,30,1,Monday,False,False,False,False
2021-08-31,2021-08-31,2021,3,8,August,35,31,2,Tuesday,False,True,False,False
2021-09-01,2021-09-01,2021,3,9,September,35,1,3,Wednesday,False,False,False,False
2021-09-02,2021-09-02,2021,3,9,September,35,2,4,Thursday,False,False,False,False
2021-09-03,2021-09-03,2021,3,9,September,35,3,5,Friday,False,False,False,False
2021-09-04,2021-09-04,2021,3,9,September,35,4,6,Saturday,True,False,False,False
2021-09-05,2021-09-05,2021,3,9,September,35,5,7,Sunday,True,False,False,False
2021-09-06,2021-09-06,2021,3,9,September,36,6,1,Monday,False,False,False,False
2021-09-07,2021-09-07,2021,3,9,September,36,7,2,Tuesday,False,False,False,False
2021-09-08,2021-09-08,2021,3,9,September,36,8,3,Wednesday,False,False,False,False
2021-09-09,2021-09-09,2021,3,9,September,36,9,4,Thursday,False,False,False,False
2021-09-10,2021-09-10,2021,3,9,September,36,10,5,Friday,False,False,False,False
2021-09-11,2021-09-11,2021,3,9,September,36,11,6,Saturday,True,False,False,False
2021-09-12,2021-09-12,2021,3,9,September,36,12,7,Sunday,True,False,False,False
2021-09-13,2021-09-13,2021,3,9,September,37,13,1,Monday,False,False,False,False
2021-09-14,2021-09-14,2021,3,9,September,37,14,2,Tuesday,False,False,False,False
2021-09-15,2021-09-15,2021,3,9,September,37,15,3,Wednesday,False,False,False,False
2021-09-16,2021-09-16,2021,3,9,September,37,16,4,Thursday,False,False,False,False
2021-09-17,2021-09-17,2021,3,9,September,37,17,5,Friday,False,False,False,False
2021-09-18,2021-09-18,2021,3,9,September,37,18,6,Saturday,True,False,False,False
2021-09-19,2021-09-19,2021,3,9,September,37,19,7,Sunday,True,False,False,False
