session_id,user_id,track_id,artist_id,genre_id,playlist_id,device_id,country_code,subscription_tier,listen_start_ts,listen_seconds,skipped,session_weekday,new_artist_discovered,estimated_revenue_usd
1,456,110,925,527,154,661,ZA,Premium,2022-06-09 14:27:00,135,False,Thursday,True,0.004
2,456,281,300,201,566,592,FR,Premium,2022-07-22 18:19:00,216,False,Friday,False,0.004
3,456,343,435,86,563,302,ZA,Premium,2024-05-18 08:16:00,182,False,Saturday,True,0.004
4,456,791,603,859,897,727,ZA,Premium,2023-01-17 20:14:00,133,False,Tuesday,False,0.004
5,456,707,318,201,512,678,ZA,Premium,2022-07-03 07:43:00,177,False,Sunday,False,0.004
6,456,851,335,128,474,616,AU,Premium,2022-07-17 09:39:00,137,False,Sunday,False,0.004
7,456,342,666,128,13,142,ZA,Free,2023-08-02 11:26:00,7,True,Wednesday,False,0.0004
8,456,408,320,201,140,771,ZA,Premium,2024-09-08 11:39:00,146,False,Sunday,True,0.004
9,456,435,432,86,109,236,ZA,Free,2023-09-02 22:44:00,207,False,Saturday,True,0.0104
10,456,136,300,201,35,204,ZA,Premium,2023-11-10 19:01:00,196,False,Friday,False,0.004
11,456,969,606,859,377,80,ZA,Premium,2024-03-26 08:49:00,177,False,Tuesday,False,0.004
12,456,408,320,201,240,723,ZA,Premium,2022-04-22 05:58:00,150,False,Friday,False,0.004
13,456,840,650,698,535,41,ZA,Free,2023-06-22 12:46:00,206,False,Thursday,False,0.0103
14,456,508,784,718,169,147,ZA,Premium,2024-02-25 09:49:00,138,False,Sunday,True,0.004
15,456,127,615,859,562,604,ZA,Premium,2024-09-09 22:23:00,37,True,Monday,False,0.004
16,456,64,595,736,500,476,ZA,Premium,2022-11-15 19:38:00,197,False,Tuesday,True,0.004
17,456,64,595,736,270,634,AU,Premium,2024-09-10 06:14:00,148,False,Tuesday,False,0.004
18,456,398,65,128,879,208,ZA,Premium,2023-01-01 11:53:00,44,True,Sunday,True,0.004
19,456,791,603,859,989,512,ZA,Free,2023-08-23 10:38:00,163,False,Wednesday,False,0.0082
20,456,917,141,128,706,626,ZA,Premium,2022-07-25 22:20:00,139,False,Monday,False,0.004
21,456,788,367,201,270,274,ZA,Premium,2024-12-08 21:35:00,165,False,Sunday,False,0.004
22,456,986,663,698,759,653,ZA,Premium,2022-06-26 17:47:00,169,False,Sunday,True,0.004
23,456,430,604,859,517,138,ZA,Free,2022-03-06 14:45:00,18,True,Sunday,True,0.0009
24,456,750,596,718,299,189,ZA,Premium,2023-11-27 07:08:00,184,False,Monday,False,0.004
25,456,64,595,736,79,661,ZA,Premium,2022-12-05 08:56:00,173,False,Monday,False,0.004
