event_id,user_id,event_type,event_ts,from_tier,to_tier,mrr_before_usd,mrr_after_usd,mrr_change_usd,country_code,trigger_context
1,456,signup,2022-02-14,,Free,0.0,0.0,0.0,ZA,social_ad
2,456,upgrade,2022-03-09,Free,Premium,0.0,9.99,9.99,ZA,price_promo
3,456,retention,2022-10-05,Premium,Premium,9.99,9.99,0.0,JP,retention_email
4,456,retention,2022-11-17,Premium,Premium,9.99,9.99,0.0,ZA,organic
5,456,churn,2023-03-22,Premium,Free,9.99,0.0,-9.99,ZA,referral
6,456,upgrade,2023-11-07,Free,Premium,0.0,9.99,9.99,ZA,reconciliation
7,147,signup,2023-05-19,,Free,0.0,0.0,0.0,GB,paid_search
8,147,upgrade,2023-08-22,Free,Family,0.0,14.99,14.99,GB,social_ad
9,147,retention,2024-04-11,Family,Family,14.99,14.99,0.0,GB,billing_failure
10,147,retention,2024-06-03,Family,Family,14.99,14.99,0.0,GB,price_promo
11,147,retention,2024-08-12,Family,Family,14.99,14.99,0.0,GB,social_ad
12,147,downgrade,2024-12-31,Family,Premium,14.99,9.99,-5.0,GB,reconciliation
13,44,signup,2024-01-02,,Free,0.0,0.0,0.0,FR,social_ad
14,44,upgrade,2024-03-21,Free,Premium,0.0,9.99,9.99,FR,price_promo
15,44,retention,2024-07-03,Premium,Premium,9.99,9.99,0.0,FR,price_promo
16,44,retention,2024-07-24,Premium,Premium,9.99,9.99,0.0,FR,paid_search
17,353,signup,2024-02-29,,Family,0.0,14.99,14.99,JP,referral
18,353,retention,2024-04-28,Family,Family,14.99,14.99,0.0,JP,referral
19,353,retention,2024-05-30,Family,Family,14.99,14.99,0.0,JP,social_ad
20,353,retention,2024-07-05,Family,Family,14.99,14.99,0.0,JP,content_launch
21,353,downgrade,2024-12-10,Family,Free,14.99,0.0,-14.99,JP,reconciliation
22,983,signup,2022-09-06,,Free,0.0,0.0,0.0,SE,paid_search
23,983,upgrade,2023-05-29,Free,Premium,0.0,9.99,9.99,SE,content_launch
24,983,downgrade,2023-11-11,Premium,Free,9.99,0.0,-9.99,SE,organic
